Series Number,Filename,Name,Description,Gender,Attributes,UUID,Sha256
TEAM PRYBAR,,,,,,,0ea598fd26b017abe863465906a7539549ee4a6e4135f4465259414741c6073e
81,segun-baller,segun baller,a man who loves to party hard,male,"Hair: black, Eyes: black, Teeth: None, Clothing: kente, Accessories: glasses, Expression: Cool , Strength: Jovial, Weakness: Non-chalant. ",58ac5cf6-b644-41c6-af79-ec9aa5f6bdd1,1c25c14ba8e217fea6e5bb21f6f512af1cdf913d1e45d9c484bb9af0f41a5635
82,bolanle-pepper-dem,bolanle pepper dem,a money spender,male,"Hair: Bald, Eyes: Black, Teeth: None, Clothing: kente, Accessories: glasses, Expression: Proud, Strength: strong, Weakness: big spender, ",46966104-775b-4443-90bb-b35afd121653,f987f7517266d151a5d9f8a313b9881b8d456873534a16e78b771a176d29e7c2
83,tayo-tailor,tayo tailor,"a professional fashion designer, in quote",male,"Hair: Black, Eyes: Black, Teeth: None, Clothing: Orange Shirt, Accessories: glasses, Expression: Inquisitive, Strength: Creativity, Weakness: Opinionated",70828783-ac38-48cf-b966-cfebc92ebd86,d9034db1d4416eb39f599594c5425ec117b6882a9db1b97f57af6545d18386f9
84,ajasco-comedian,ajasco comedian,he thinks he's funny but he's not,male,"Hair: Black, Eyes: Black, Teeth: None, Clothing: Green Shirt, Accessories: glasses, Expression: Bold, Strength: Optimistic, Weakness: Unobservant",8bebdb3a-f0a8-47ba-892f-39aa275fbd0d,9603fa9662bf8e3f4b8e766fcd3a2823f9012d757802ff0655189db0b2919a8c
85,tobi-babyboy,tobi babyboy,he's currently in his babyboy era,male,"Hair: Black, Eyes: Black, Teeth: None, Clothing: White Shirt, Accessories:glasses, Expression: Friendly, Strength: Outgoing, Weakness: Lacks boundaries. ",3da592d4-5dec-4bc5-8412-f1b2a0269f95,ada437936a8c93a13f35392ac61c1d4b780829c9c805a6144e3b298913e82463
86,esther-sassy,esther sassy,her motto is everybody must collect,female,"Hair: Brown, Eyes: Grey, Teeth:None, Clothing: Animal Print, Accessories: Necklace and Earrings, Expression: Bold, Strength: Confident, Weakness: Judgemental",0642a25a-966d-446f-b021-a6d18e7fa0c5,c7702eb30bdf1dc48267432625b9e5f6f310a5725156224b256e61206339c5d1
87,ozo-fineboi,ozo fineboi,she's currently in her babyboy era,female,"Hair: Brown, Eyes: Blue, Teeth: None, Clothing: Aztec print blouse,  Accessories: Choker and Hookah, Expression: Blank, Strength: Charismatic, Weakness: proud.",fdb0a5b6-7367-48bb-bd6b-720ec8c15226,7857a6853a809c22aa2cebaf79e565256578e0d6d21b97730549a11ee0a44bba
88,ade-party-girl,ade party girl,the life of every party,female,"Hair: Brown, Eyes: Blue, Teeth: Gap-tooth, Clothing: One-sleeved blue top, Accessories: none, Expression: Scary, Strength: Adventurous, Weakness: Impulsive",7e3db30c-9faf-430d-ab48-b854fe0456b9,bb3d1fab3ee4c40626d4f95bc8da028ff6262c80d266f12388fdda18b2a5666a
89,john-casco,john casco,silent killer,female,"Hair: Black, Eyes: Blue, Teeth: None. Clothing: One-sleeved Ankara top, Accessories: Earrings & Necklace. Expression: Shocked, Strength: Unpredictable, Weakness: Loner",2eff88ef-5bc2-4779-917a-533e952e2953,860d370c12272a52e2aa1966f3a888e354bc11d543e367564794fd05d28de7b2
90,agha-uwa,agha uwa,"senior woman, may do back flips",female,"Hair: Brown, Eyes: Blue, Teeth:None, Clothing: Ankara top with strap and full sleeve . Accessories: Earrings & Pink, Expression: Sad, Strength: Daring, Weakness: Loner",8478a002-1eba-4a05-8b98-7170c6e39254,7b2a5099ddca282972860c71b60b7808d695d33cc4c32c554968b37e7c4ab837
91,udeme-great,udeme great,an alcoholic,female,"Hair: Purple, Eyes: Black, Teeth: None. Clothing: Ankara top with blue sleeves . Accessories: Green Necklace, Green Earrings. Expression: Clueless, Strength: Decisive, Weakness: Stubborn",d1476409-6f8b-4be9-8c93-24d9123749c5,fe144d9bd4b70de07c7e4e599057e1a8bf95926b8a0d0ecf3f834b36b2a459e4
92,femi-tech-bro,femi tech bro,"broke tech bro actually, no money",female,"Hair: Brown, Eyes: Black, Teeth: None, Clothing: Ankara top with blue suspenders, Accessories: Green Necklace, Expression: Mischievous, Strength: Creativity, Weakness: Procastination",ba3ec22a-13d5-4e19-9b7f-aac764fda28c,44dfc4d1b4dd8c197a43684018206e60eb96aaf37fc9bc4be39345170e7523d3
93,sai-baba,sai baba,bts leader of 3rd world,female,"Hair: Brown, Eyes: Black, Teeth: None, Clothing: Off shoulder Ankara top, Accessories: Earrings and Necklace, Expression: Anxious, Strength: Trend Spotter, Weakness: Distracted easily",fdfff369-5b57-4612-9f89-f5d408f24a35,57035dd42892dccd84688d968a3287064869ee62a2ec600d349100301ecfcac9
94,omo-pastor,omo pastor,a woman with the morals of a man,female,"Hair: Brown, Eyes: Black, Teeth: None, Clothing: Spaghetti strap Ankara top, Accessories: Green Earrings and Green Necklace, Expression: Happy, Strength: Happiness, Weakness: Too emotional",49e09559-61a6-41ff-811a-272721a7475c,d6425e5ae6d4e8e86d8823b3a2aee04c9ba74f49632364b6d8d8416f106d45e1
95,obi-container,obi container,a rich woman from the east,female,"Hair: Brown, Eyes: Black, Teeth: None, Clothing: Animal Print Top, Accessories: Green Necklace, Expression: Suprised, Strength: Wealthy, Weakness: Risk taker",4b64cf48-94fa-4aed-8cf2-452974b48ee3,4cebd007b75374e32f62e31b0d98754d0be122ba55abacc739baebde7ac0b73d
96,erigga-international,erigga international,Super star from south-south,female,"Hair: Brown, Eyes: Black, Teeth: None, Clothing: Half Ankara, Accessories: Green Necklace & red scrunchie, Expression: Curious, Strength: Talented, Weakness: Overconfident",3ac39a5e-7b0c-4371-b0c8-7cb4b68aed2c,b78a35faeacb068d7c971010a2f68dba132e94c0ae5d8f6f7dc4bf45825cb0f4
97,ayo-web3-bro,ayo web3 bro,no actual knowledge of basic computer principles,female,"Hair: Brown, Eyes: Blue, Teeth: Gap Tooth, Clothing: Sleeveless Ankara top, Accessories: Green Necklace, Expression: Terrified, Strength: tolerant, Weakness: Illiterate .",c137ec2b-18cd-4c29-a194-af29ac9e6c1c,0562a822d5907da0dfb08e4e462d489da07c7e475a11e33f93bb46e7552ff101
98,phoebe-queen-bee,phoebe queen bee,"a self-centered woman, only thinks about herself",female,"Hair: Brown flowing hair, Eyes: Blue, Teeth: none, Clothing: Ankara top, Accessories: None, Expression: Polka face, Strength: Attractive, Weakness: Gullible.",1277e9c0-81dc-4747-89df-a9d2ae4fcf96,9a24f210053693e2b13cf566ac317f9c6a46e7b1f683c1faee661af675d00d06
99,rachel-warri-babe,rachel warri babe,a woman who doesn't take nonsense,female,"Hair: Red braids, Eyes: White, Teeth: None, Clothing: Yellow Danshiki, Accessories: None, Expression: Straight Face, Strength: Assertive, Weakness: talkative.",19e6af3b-ef2d-46ba-ba05-59fb612ebbee,e54890d3b32790fd65e433dfdd6f8f4ba3be6a34011af072d223c1a8ca939b66
100,adun-preacher,adun preacher,a woman who preaches in buses,female,"Hair: Black short hair, Eyes: Blue, Teeth: None, Clothing: Blue paisley print blouse, Accessories: Ankara bonnet and hookah,  Expression: Blank stare, Strength: Bold, Weakness: Fake.",cc4dfedf-c343-48db-ad67-e39452ec2380,3508d353628d99ec704c03028bb030cfbc8321830e5be38a8ee37cdd073b836f
,,,,,,,514e526a67bf2278a3e0873b7ec35a386c8d043e1470a6eaa1b074464ace734c
TEAM CHISEL,,,,,,,5bfa87d032dfeeaa7e12ab3f92edfe9c06df7b4e508426d89b96052f0618cd38
101,adebola-omo-oba,adebola omo oba,Adebola loves soft life with her fathers wealth,female,"Hair: brown, Eyes: opened, Teeth: white, Clothing: ankara print , Accessories:none , Expression: staring, Strength: bold, outspoken, Weakness: pride",fbf43611-f267-4cba-bf4b-a3ffdc122589,5447f3c359ab7d43b9e4bb670458de940e7f9a077337c4d3ee480a47b319d683
102,chichi-the-dancer,chichi the dancer,Chichi loves dancing and party,female,"Hair: black, Eyes: blue,opened, Teeth: none, Clothing: ankara print, Accessories: none, Expression: shocked, Strength: dancing, Weakness: lovergirl",e7c32b06-7022-49b4-bbe5-81e8c1d58583,3697c8749c0a6be16d57da7e5a1242516b6fa1023baf7b51c0aa81b1f23224c4
103,hammed-the-farmer,hammed the farmer,Hammed owns a farm with his family,male,"Hair: none, Eyes: opened, Teeth: none, Clothing: brown and cream buba, Accessories: nose mask, Expression: innocent, Strength: farming, Weakness: drinking",e57d8985-599e-49da-8d62-fc16b7ac93f2,6e7c642fbcf994cce347def8b08c57a2a0884785fc7bcadecb049a9f3ecc5bde
104,farida-the-tivlady,farida the tivlady,Farada is a traditional TIv woman,female,"Hair: brown, Eyes: opened, Teeth: none, Clothing: ankara print, Accessories: lipgloss, Expression: cool, Strength: cooking, Weakness: multitasking",31d3e229-003e-43c8-ba82-38f49cf58ccb,b2ab8dad23d00309b614315e7470fc478564da7d1d38214468f22b25b73dd950
105,hannah-the-singer,hannah the singer,Hannah loves singing and belongs to choir,female,"Hair: blonde, Eyes: opened, Teeth: none, Clothing: flower print dress, Accessories: earrings, Expression: angry, Strength: singing, Weakness: reading",281f5bd7-5282-458b-9811-e369980e7dee,ba568369ab8d4a72c27adb9eb9df3f88d5b9cb72466024d2c00b5ca5402e6eb0
106,nonso-the-igbogirl,nonso the igbogirl,Nonso is an Igbo girl that loves money,female,"Hair: black, Eyes: opened, Teeth: none, Clothing: leopard print blouse, Accessories: none, Expression: happy, Strength: business, Weakness: spending",5cfa76df-8376-4505-af12-78af24f108d6,d2d38a78d9c1d4d6dcfeae66811c05c46f04b88041b8968efacd7ab719d88914
107,shade-olori,shade olori,Shade loves soft life and makeup,female,"Hair: black, Eyes: blue,opened, Teeth: none, Clothing: ankara print, Accessories: none, Expression: none, Strength: makeup, Weakness: sleeping",1a07ca73-d39b-43e9-a0f1-ef9f5e57d3a9,ac2f449052ec22b9b6289fdfe60a1a68da994f44cd8889a971efcbc21bd08e66
108,quadri-the-teacher,quadri the teacher,Quadri is a devoted teacher that teaches mathematics,male,"Hair: none, Eyes: opened, Teeth: none, Clothing: yellow on blue jean, Accessories: nose mask, Expression: none, Strength: teaching, Weakness: talking",d96a93e7-17a4-4efe-b09b-02185cc81ce8,40e4401d6754a9c6515fa7cf47d3a56d4bd6f5997e9454700a78ab4137f3e0cd
109,Ifeanyi-the-dj,Ifeanyi the dj,Ifeanyi is a music dj that performs at events,male,"Hair: none, Eyes: opened, Teeth: opened, Clothing: animal print, Accessories: red cap, Expression: none, Strength: mixing songs, Weakness: none",030f665d-2cd7-4376-aef5-4030dad9f2d6,cb023df450fb2035637d10014d5b0d0ed681a8b892796ecddb9985b342c17dc1
110,fayo-the-yorubademon,fayo the yorubademon,Fayo is a youruba demon that breaks hearts,male,"Hair: bald, Eyes: opened, Teeth: none, Clothing: africa print, Accessories: mask, Expression: none, Strength: determined, Weakness: steals",e270e278-a9b5-408d-b527-d518239a997b,961b94592f59d4879fb0741b57f29af460b00e3404fb6e1e4c8d4e8132f4fea2
111,nkechi-the-actress,nkechi the actress,Nkechi is an internation actress that acts in hollywood,female,"Hair: purpule short hair, Eyes: opened, Teeth: none, Clothing: native print, Accessories: smoking, Expression: rugged, Strength: love, Weakness: lie",34b1136d-00b1-4f29-8a03-5b02291d47d5,064326a980bdabb17c955a5ad33de920ece3fa5ee2d9a691bcc05ec1a6e32139
112,hamzat-the-mallam,hamzat the mallam,Hamsat is a mallam that changes money,male,"Hair: bald, Eyes: opened, Teeth: none, Clothing: wrapper, Accessories: none, Expression: straight, Strength: traditional, Weakness: diabolic",592eff9f-93b2-4452-a2ed-5d44ebc969db,9fe7954b9e2cd541eec92c92d458e0c25cbc5bb7dd2b4f4862efa922b5e768b7
113,nnena-pretty-girl,nnena pretty girl,Nnena is beautiful girl that loves to talk about her beauty,female,"Hair: brown bob marley, Eyes: open, Teeth: covered, Clothing: african print, Accessories: sucker, Expression: none, Strength: giver, Weakness: possesive",d9477612-ad63-408e-8d12-24679c647b32,b6f266e40aff9dc5a4267e4a2a0647d3c5bf5196a5d66c2b582d63c112f6388a
114,tunde-the-boss,tunde the boss,Tunde is a boss that orders her helps around,male,"Hair: capped, Eyes: opened, Teeth: white, Clothing: native cloth, Accessories: none, Expression: none, Strength: cooks well, Weakness: bossy",7635c4ee-04f6-4872-bfc9-37e5a73c8fc6,85bf8235f90794e6efdb724da94ea762a88517d89ecba72f03a6449e56721265
115,nnamdi-the-barber,nnamdi the barber,Nnamdi is a baber that does celebrity haircuts,male,"Hair: brown afro, Eyes: open, Teeth: smokey, Clothing: africa print, Accessories: none, Expression: none, Strength: determined, Weakness: loves clubbing",152758f3-9414-45a2-a809-95cb05a3de13,55c3d014def5813af7517d2a8ad7d86652a8b0e86f26fd43c506b214c537a0f7
116,amaka-the-hypepriestess,amaka the hypepriestess,Amaka is a very hyper that she hypes in the clubs,female,"Hair: black hair, Eyes: opened, Teeth: open teeth, Clothing: africa print, Accessories: none, Expression: laughing, Strength: independent, Weakness: insultive",c7726e84-3c5c-4e66-8677-cbfb5c9ee850,a46de7aab1f05ec901e39fb4ccf015952c631619472581cc3c6f72e1cd073af4
117,kemi-foodie,kemi foodie,Kemi loves food but cannot cook,female,"Hair: black har with scarf, Eyes: partly opened, Teeth: none, Clothing: one hand style, Accessories: none, Expression: none, Strength: can cook very well, Weakness: dirtiness",3116cb6f-14c4-4d5a-af57-54253b72a309,ee6ff99223178c3ef55f70ac697fb1643fd85a9c75be2c9b50de3be27cb4a56e
118,ada-the-fashionister,ada the fashionister,Ada loves fashion that she rarely repeats cloths,female,"Hair: brown afro, Eyes: glasses, Teeth: white, Clothing: africa print, Accessories: none, Expression: smiling, Strength: successful, Weakness: too serious",a14df1c1-7a5a-4a33-8780-0fb01c593da6,ad2f15d05443cc4b6b396737a5896bf6af3bdf7578bf1a6e719353c813a2dcaa
119,kayode-the-baller,kayode the baller,Kayode loves life and lives it,male,"Hair: bald, Eyes: wide opened, Teeth: none, Clothing: yellow on jeans, Accessories: none, Expression: none, Strength: swaggy, Weakness: loves women",fe17bfdc-c251-4654-8313-1ab793e11748,c23fc6a605ddce561e5369df90b0fbd666228f6b83a7694f5cfd13a882b2b5df
120,kola-of-lagos,kola of lagos,Kola is the life of the party everywhere he is,male,"Hair: bald, Eyes: opened, Teeth: none, Clothing: native, Accessories: none, Expression: none, Strength: intelligent, Weakness: shy",df295be1-1509-406e-a263-28a5dee0abca,074746faabf4e664f8dee0677a4e328fc96446360b8cad58aa85d9106aedfc98
,,,,,,,54990e789bda7b2cca45b2ab6678409db826fead84263212dd7af5bf3316feee
TEAM BRAINBOX,,,,,,,251288688381237890843b322889c14d8a3408cf9f57a7010965ffe8cd0b6d7e
121,azikiwe-popular-trader,azikiwe popular trader,Azikiwe is a popular trader,Male,"hair:none ,eyes: blue,teeth:none, clothings: purple and yellow, accessories:cap, expression:happy, strength:Strong  ",7ebde325-8efc-4997-811a-b5686269929e,156a5f6aa65d900cb25ee74cf889fb2b526b117562f9704e155e8816e9bf9642
122,obasanjo-funny-guy,obasanjo funny guy,Obasanjo is so hilarious ,Male,"hair:none ,eyes: black,teeth:small open teeth, clothings: sleeveless yellow ankara, accessories:none, expression: serious face, strength:mild  ",c136a120-a339-4080-96ca-1c93845c5848,f3113deddaff9f03f3198b8c8709dc0c92199c2763e4f46d05e46ff461101e9b
123,yakubu-village-chief,yakubu village chief,Yakubu is the village chieftain,Male,"hair:none ,eyes: blue,teeth:open white teeth, clothings: black isiagu, accessories:cap, expression:happy, strength:Strong  ",5b0c0d26-d204-4264-b579-081ff9df935b,d66dda713eff494a6085705e336b58b4730dfee79bf2af448ea001242ad7e9ef
124,abacha-loves-smoking,abacha loves smoking,Abacha loves taking pipe,Male,"hair:cute braided hair ,eyes: black ball white eye, teeth:none, clothings: mixed colors ankara wear, accessories:none, expression:happy, strength:Strong",8ac6d95f-0cf3-4f54-9cf2-be8834b3004c,48e6209159ee98f00e768f4582ad8de4c411a9fca21a7ccee60237fc0c5cad33
125,johnathan-good-leader,johnathan good leader,A very progressive young man with positivity ,Male,"hair:punk bearded man ,eyes: closed, teeth:none, clothings: white shirt and senator, accessories:cap, expression:bone face, strength:Strong  ",241e3713-4ce3-48d0-827f-b282ae2db6c4,a6c89658a855fb0dec2f31dd11b749e79e3cd801fb0792c13261abf5a1e949ff
126,johnathan-genz-kid,johnathan genz kid,"A child of the moment , all fun and cruise ",Male,"hair:none ,eyes: blue,teeth: white, clothings: yellow ankara wear, accessories: traditional cap, expression:happy, strength:Strong  ",90c0ae09-a35f-42ad-b93c-dcf30169acd9,0e125850ed4e52ab061cb2bf2d500e23ef93a00cdf616f8284cb7e2b0a0edf0f
127,eddy-the-community,eddy the community,Man of the people ,Male,"hair:none ,eyes: blue, teeth:none, clothings: black isiagu wear, accessories: cap, expression: happy, strength: Strong ",5cabf9d9-882b-459e-9253-8c07eb045e2d,4baf169389098f2699d0e9542abdb1076ba2bb733c0ce5cbc5b353b0f3f0fa21
128,olu-the-oba,olu the oba,The oba of Ofuk kingdom ,Male,"hair: purple braided hair ,eyes: black, teeth: none, clothings: mixed color traditional wear, accessories: none, expression: serious face, strength:mild  ",04c4b28a-aca0-44b1-a064-ed0d9d2a31ca,3a126c37e94e267a701c175aebebb96c09969dd8f719340249962e69273ac3f5
129,edu-the-biggest-trader,edu the biggest trader,The biggest merchant in west coast ,Male,"hair:none ,eyes: blue, teeth:closed, clothings: black and yellow collar native wear, accessories:cap, expression:happy, strength:Strong  ",48d1de5f-5f3f-46aa-b2fd-68420a8e802b,69467569a5601ebd3aaafad6413247246aad4427712286423d87e5bcf866579c
130,james-importer-and-exporter,james importer and exporter,Sole importer and exporter of spare parts in Africa ,Male,"hair:none ,eyes: blue,teeth:none, clothings: purple and yellow, accessories:cap, expression:happy, strength:Strong  ",22541251-022f-480c-8c1e-cf754dce16d6,719241bef2efe4a92e024468439070504186dba2b32d0942d0dc55f78b7746ad
131,lanre-the-dreaded-guy,lanre the dreaded guy,The wayward tout,Male,"hair: none ,eyes: none, teeth:white, clothings: ankara, accessories:cap, expression: happy, strength:Strong  ",66a054cd-5541-4000-98aa-8f2e9892d880,d599078e009c16506c1e873127d9c5a818548cff1ba1f3bdb5a56f43559a859e
132,olamide-the-street-boy,olamide the street boy,Friendly street gang,Male,"hair:none ,eyes: white, teeth: none, clothings: green and blue, accessories: cap, expression: serious face, strength:Strong  ",d50a35b1-b42e-4e0c-8dd8-9b892b56d371,0fd7f3b95572f69dbb4633623b072e5bff457408b7d1d45b26b68fabc4982079
133,uche-peace-loving-man,uche peace loving man,A man of peace and discipline ,Male,"hair: yellow ,eyes: blue,teeth:none, clothings: yellow, accessories:none, expression:happy, strength:Strong  ",6c9d6eae-2ea2-468c-a2c8-928aaafc084b,e7206ea909e6b69bd8b2c8bc665a9610016030f6da379e213afeb5639fc714a3
134,dave-the-tech-bro,dave the tech bro,Dave the web3 geng,Male,"hair: none ,eyes: none, teeth:white, clothings: none, accessories:cap, expression: serious face, strength:Strong  ",c0857b11-bf0e-46a4-9108-b8eb93d83e74,793915971c2561d18200a1efd0bca567cc5b71bfc6c32f493c4a113146795196
135,obi-the-biggest-humanitarian,obi the biggest humanitarian,The biggest helper during the pandemic ,Male,"hair:none ,eyes: blue, teeth:white, clothings: brown, accessories:cap, expression:happy, strength: Strong  ",201a408c-7a2e-42d9-a62c-0136c885c211,66f5314a5ccfedf3aa1c6ef4d19d2789ff713bb99f6eb9cd303ed89e09539783
136,precious-the-emotional-girl,precious the emotional girl,Soft hearted and sensitive precious ,Female,"hair:none ,eyes: white, teeth: white, clothings: yellow and blue, accessories:cap, expression:angry, strength:Strong ",b6a41ff1-51ce-42f7-9933-85d0a22ced68,5b2bee03a3d63d85557a027306476c0ce566a5357b13d2a60e43f8fe30894f3a
137,ella-serious-minded,ella serious minded,Ella a dedicated young lady ,Female,"hair: none ,eyes: white,teeth: white, clothings: black and yellow, accessories:cap, expression:happy, strength:Strong  ",04036447-f43e-4bfb-9503-f55c9064b14e,7803d78aa4c799bd3d181d1d29a25b1bd4fabc43b72c6a9eb60170301dfb9588
138,cynthia-cute-eyes,cynthia cute eyes,Cynthia with a priceless cute eyes,Female,"hair:yellow ,eyes: blue,teeth:none, clothings: blue and yellow, accessories: none, expression: serious face, strength: mild ",5d12847b-6d71-4691-8337-2e6ef3e283b2,0ef269a6480bd6d813c876bd91c8e49c62d2465279f4b326247cc7f9042a1342
139,mary-with-hair,mary with hair,Mary with her beautiful Afro ,Female,"hair: none,eyes: none,teeth:none, clothings: casual ankara, accessories:cap, expression:scared, strength:sensitive, weakness: fearful",98035e8b-6540-4464-8a3c-fdac9f07b168,f6f8dd147a3052fddd6073e6a207061eb0c0d6b82be6fd557b192426d7cb81d9
140,ada-chewing-bubble-gum,ada chewing bubble gum,Ada always chewing gum,Female,"hair: none,eyes: none,teeth: white, clothings: traditional wear, accessories:cap, expression:sassy, strength:decisive, weakness: insensitive",15309dc5-e483-4658-b503-db85ba2c1722,e46419cd3e6e903010aae7249800108ae866a24ab30763db363b75aa07987ca1
,,,,,,,2b1e2f74326cf8505cb15fd10a2b38c682d749c8d6f0c9e973041509b12362ec
TEAM PLUG,,,,,,,a72609f5132bbbf299e9445789eab5f47dd345737b9002a37a8be4b81c31483c
141,viganem-the-drummer-girl,viganem the drummer girl,she loves jumping a fence to play drums after school,female,Hair: none. Eyes: none. Teeth: none . Clothing:Ankara with drum patterns . Accessories: none. Expression: Sumg . Strength: none. Weakness:none .,5a5a6f5c-39f3-4beb-ab74-60d3c7a90fd4,035e7d265bfd0c490750dd3260af59505640ada0ffc0170ac60a375fbda063b4
142,lenusuka-the- big-woman,lenusuka the big woman,The lady that loves spending money and buying everybody asaobi,female,Hair:purple . Eyes: none. Teeth:none . Clothing: black and blue ankara. Accessories:none . Expression: Serious. Strength:none . Weakness:none .,e564a43a-ef77-487d-a88e-749d20a09fd8,aa3d18df368a22dac196d2640e6cc2ce71f9fd3e1ef64b4c970eec892762c838
143,enepua-the-clout-queen,enepua the clout queen,The lady that travels all day and enjoys snapping food at restaurants,female,Hair: purple. Eyes:none . Teeth:none . Clothing: black ankara with yellow and blue gear pattern. Accessories: none. Expression: Chill. Strength:none . Weakness:none .,6dc7e452-0626-4f4c-a28c-f5db3532e305,f2be0d899a22653ea0a534949a3c9319e6f05c83756b9145483d97a5c8ac8b1b
144,usifong-queen-of-mushin,usifong queen of mushin,Changes her hair every 2 weeks and cannot finish one pure water,female,"Hair: brown afro. Eyes: none. Teeth:none . Clothing: black ankara with yellow, peach, and blue gear pattern. Accessories: . Expression: Unbothered. Strength: . Weakness: .",221263d0-8775-49f8-bbf8-4b08b49e1482,92dab79fc721cf27f8843f4b1112c3321e82800d54d218dc0e998e691f3074cb
145,akinyim-the-agbaya,akinyim the agbaya,Always playing with small childrens and mostly small girls,female,Hair: burgundy dreadlocks. Eyes: none. Teeth:none . Clothing: Kente blouse with asymmetric neckline. Accessories:none . Expression: Off-standish. Strength: none. Weakness:none .,c1070dce-48a1-4ae8-b9a4-d070859a8377,223d0879bd30888b34f9539b841befac60d6a44baf6da66e438d2894299b0263
146,zawadi-mr-sleep-everywhere,zawadi mr sleep everywhere,Likes sleeping in the weirdest places especially in clubs,male,Hair: brown. Eyes:none . Teeth: none. Clothing: Kente agbada. Accessories: none. Expression: Goofy. Strength: none. Weakness: none.,c22489fe-574b-47f3-9667-c9c798b2d4df,877ea8ae2c5cd596223a85b6dffc4767fb274471a741472e09d3577da82a71ff
147,chepkirui-mr-self-love,chepkirui mr self love,Likes taking care of himself and spending on himself,male,Hair: burgundy fila cap. Eyes: none. Teeth: none. Clothing: black and kente patterned agbada. Accessories:none . Expression: Sleepy. Strength:none . Weakness:none .,1a91e778-d214-476b-a667-94e9ecb8b5ce,a04ff3c613ce3db5c724caec2780f81b334fe8d8ad873d58b28874dc8cabc82a
148,naserian-mr-fear-fear,naserian mr fear fear,Has never slept with anyone and can not kill cockroach,male,Hair: face cap turned to the side. Eyes: none. Teeth:none . Clothing: yellow and blue ankara. Accessories: . Expression: Warm . Strength: . Weakness: .,8177cf38-8284-4eb4-b19c-04473bcb3b5e,40b3893ecd83af724db26f90725c9bf5beb1471b6891844ef1461d8b31437e76
149,wawuda-the-ashawo-of-africa,wawuda the ashawo of africa,Brags about his body count and follows skirt anywhere,Male,Hair: Blue cap. Eyes: none. Teeth: none. Clothing: Green top with blue overalls. Accessories: none. Expression: Fear. Strength: none. Weakness: none.,0554bf35-f588-4009-aafc-ef875b878c29,1ed32229419e7428a180cb4bc1860d869f3bc899c549b74ae002729d5c0c7b08
150,kerubo-the-igbo-smoker,kerubo the igbo smoker,Loves only his igbo and is happy when he finds an old blunt,male,Hair: brown. Eyes: none. Teeth: none. Clothing: brown shirt with dog pattern. Accessories:none . Expression: Smirking. Strength: none. Weakness: none.,33ba8e73-7949-4bc7-ba27-37ee1d573946,468a4ed0207756e1f85420d17f1dbc7ef210ec6678335e4379b57b542c654d46
151,rehema-the- olodo,rehema the olodo,Failed primary 5 eight times and like playing football after school,male,Hair: teal cap with black and white stripes. Eyes: none. Teeth: none. Clothing: purple shirt with yellow accent. Accessories:none . Expression: Euphoric. Strength:none . Weakness:none .,1fb33783-4898-48cf-8a73-f81afc71e1a8,7929c6e559ed2ba91c4b6ffa6d105c49625cb1c384fa6c18c8668a1e1495f2d1
152,nekesa-the-brainbox,nekesa the brainbox,A proposed elite who cannot write a simple speech,male,"Hair: black and red hat. Eyes: none. Teeth: none. Clothing: Monostrap black Ankara with yellow, and red patterns . Accessories:none . Expression: playful. Strength:none . Weakness:none .",7ba909bd-19a1-454d-a86c-a45e85cb94a6,fd5327888167f5ba597482293744a29edd548c82c1fdc5c10fb5998dc4e3347e
153,kiokoli-the-slowrunner,kiokoli the slowrunner,Always running in every race but never making it to the first 5,male,Hair: black and yellow cap. Eyes: none. Teeth:none . Clothing: maroon agbada with yellow accents. Accessories:none . Expression: Clueless . Strength:none . Weakness:none .,d7027b6c-ae53-4cce-b80d-67aeb7ceb1ba,66dc2e9df2a04e483e73239629ca32a1298a91c3c49bdb6b4157daa356ee9228
154,adjuani-uncle-wire-wire,adjuani uncle wire wire,Mugu money spender that loves spending on women extravagantly,male,Hair: red cap. Eyes: none. Teeth: none. Clothing: Plain and patterned Ankara shirt. Accessories: none. Expression: Anxious . Strength: none. Weakness:none .,36cd959f-d280-41f6-af76-765715c72527,af4b2a0c9ca45bd79c03b8b00a166af57b615a50a02bf72ff44802fecbccd967
155,ajobaru-a-serial-killer,ajobaru a serial killer,High end assasin who cannot survive a day without sex,male,Hair: black and yellow fila cap . Eyes: none. Teeth: none. Clothing: yelow kente shirt. Accessories: . Expression: Cheerful. Strength: . Weakness: .,9d262f55-73d7-4b95-9a82-42356dbb085c,3aea5a3bde63ddba2aa7c77265cca9e31c7bfec1e8b080da3f03afceda58ba62
156,effiadem-the-fireman,effiadem the fireman,A retired military general who always loves shooting at sight,Male,Hair: brown. Eyes: none. Teeth:none . Clothing: black and kente agbada. Accessories:none . Expression: High. Strength:none . Weakness:none .,a4534fe0-b5ed-41ab-af72-1f2d0ff0fc64,584d7baf38736442f450be6913bdb7abb02c80f3cbed97ad53489a7bd62c45cf
157,deladem-the-commandoo,deladem the commandoo,The nerd who has watched all war movies but cannot fight a kid,Male,Hair: burgundy cap. Eyes: none. Teeth: none. Clothing: black and kente agbada . Accessories:none . Expression: . Strength:none . Weakness: none.,88106b92-da30-46ad-a3cc-d528683b9e33,4e4c1743af92d6eb4b965a89aac4b054b366659852a1f51b2daeecf15d455aa4
